ClusterID,Token,Weight
1,cell,0.0026802180941991674
1,state,0.0012912991128468587
1,response,0.01733219477497876
1,immunotherapy,0.009555613435066754
1,melanoma,0.02241297290467872
1,treatment,0.0025650280630015072
1,cancer,0.0028426555544536626
1,checkpoint,0.021550935485267996
1,blockade,0.022697316723195866
1,therapy,0.003933043029935645
1,rate,0.001679713166519536
1,majority,0.0008620374194107199
1,patient,0.0019898588881175636
1,succumb,0.001021685246185927
1,factor,0.0021550935485268
1,success,0.0007263519779456435
1,failure,0.001452703955891287
1,tumor,0.0
1,sample,0.0018078187579856023
1,treat,0.004982337817286897
1,inhibitor,0.006355138084158878
1,program,0.0086203741941072
1,promote,0.0011071861816193105
1,exclusion,0.003065055738557781
1,resistance,0.00616255814221467
1,immune,0.018390334431346685
1,benefit,0.003023483699735165
1,molecular,0.001021685246185927
1,single-cell,0.0011071861816193105
1,Sequence_Analysis_RNA,0.0021790559338369306
1,analysis,0.0012211689731856886
1,Immune_Evasion,0.0021790559338369306
1,characterize,0.0017240748388214397
1,niche,0.0021790559338369306
1,situ,0.0007263519779456435
1,cohort,0.003359426333039072
1,CDK4,0.001021685246185927
1,6-inhibition,0.001021685246185927
1,repress,0.001021685246185927
1,induce,0.0007747794677081153
1,senescence,0.001021685246185927
1,reduce,0.0005535930908096553
1,outgrowth,0.0007263519779456435
1,mouse,0.0023109593033305014
1,model,0.0006497498410179799
1,vivo,0.0008141126487904592
1,combination,0.0034481496776428795
1,study,0.002035281621976148
1,landscape,0.0006718852666078145
1,ICI-resistant,0.001021685246185927
1,identifie,0.00043101870970535994
1,signature,0.0023243384031243455
1,strategy,0.002118379361386293
1,compartment,0.0021790559338369306
1,Lymphocytes,0.0007263519779456435
1,remodeling,0.001021685246185927
1,micro-environment,0.001021685246185927
1,form,0.0016607792724289657
1,profiling,0.00043101870970535994
1,difference,0.0021790559338369306
1,syngeneic,0.001021685246185927
1,growth,0.0007703197677768337
1,assessment,0.003065055738557781
1,Gene_Expression,0.001679713166519536
1,protein,0.002687541066431258
1,expression,0.001368014966934137
1,mass,0.001452703955891287
1,cytometry,0.001452703955891287
1,CyTOF,0.001021685246185927
1,myeloid,0.001021685246185927
1,subpopulation,0.0002582598225693717
1,monocyte,0.003065055738557781
1,macrophage,0.0036317598897282173
1,marker,0.0008620374194107199
1,CD206,0.001021685246185927
1,CD1d,0.001021685246185927
1,iNOS,0.001021685246185927
1,change,0.0007747794677081153
1,time,0.0016607792724289657
1,manner,0.00043101870970535994
1,IFNg,0.001021685246185927
1,datum,0.0015495589354162305
1,support,0.00129305612911608
1,hypothesis,0.00043101870970535994
1,polarization,0.0007263519779456435
1,activation,0.003359426333039072
1,effect,0.0015406395355536675
1,enter,0.001021685246185927
1,paradigm,0.0007263519779456435
1,shift,0.0007263519779456435
1,enhancement,0.002043370492371854
1,normalization,0.0036317598897282173
1,harness,0.001021685246185927
1,antitumor,0.0021550935485268
1,century,0.001021685246185927
1,effort,0.0016607792724289657
1,amplify,0.001021685246185927
1,mechanism,0.0010260112252006028
